                User   Dropout    Non_Dropout            IPI
         120D0345632         1              0       0.000000
         huiwen11718         3             26       0.689655
          takuya0822        15              4      -0.842105
           Shang-Lin         5              0      -4.000000
            seanshui       120             41      -1.391304
           104602028         1             46      -0.680851
        uchienta1010         5             94      -3.393939
           kevin8452         4              7      -0.181818
          TammyHuang         1              3       0.500000
            mifi_wen         1              1      -4.000000
             TzuYing        16              6      -1.090909
            viginiia         4            145      -3.906040
         123D0345884         1              0      -4.000000
           Jimmy0809         6              0      -4.000000
             WenyuLo         0              1       0.000000
        shinshian824         9             22      -1.741935
           xp8061992         4              9      -0.461538
             Usemame         0              1       2.000000
         136D0447417         0              5      -4.000000
            g9622808         0              1       0.000000
             KarenWu         7             23       0.133333
            oasisboy         0              1       0.000000
        kevinwang088         1              0      -4.000000
           104602031        16              8      -2.583333
         larry199411        13             14      -0.296296
         teacherchou        41             22      -2.476190
             SHANBIN         1              0      -4.000000
         107D0340369         1              0       0.000000
              erinta         4              3      -3.428571
         learngogogo         1              0       2.000000
         123D0309561         3              0      -2.000000
         BarbraChang         3              8      -2.545455
             kj2live         2              2      -1.000000
           emma1202q         2              0      -3.000000
               elisa        43              5      -2.125000
         jason850204         0              4      -1.500000
           henrychen         1             68      -4.000000
          cchs112203         0              1      -4.000000
                Mojo         1              2       0.000000
         ray19841984         1              1      -4.000000
          JackieWang         1              0      -4.000000
            BF102038         1              0      -4.000000
       tommy19920709         1              0      -4.000000
          cchs111039         0              1      -4.000000
            ching888         1              1       1.000000
               wagen         5              0      -2.800000
      origamifighter         3              1       0.000000
             ChainAn         1              9       0.400000
               Donna        13             14       0.148148
            JuliaLiu         3             44      -1.446809
       GN008D0131688         1              0      -4.000000
                 CKJ         0              4      -1.000000
              hmchen         1              4       0.400000
               ZZWei         3              6      -2.888889
               r1015         1              2       1.333333
             EvaTeng         1              0      -6.000000
              0316gv         0             12      -3.000000
         130D0491225         3              1      -3.500000
             yasnn00         0              2      -4.000000
        bryant850316         3              0      -1.333333
         zhuhandsome         1              0      -4.000000
               SHUEN         2              2      -3.000000
            mayshinn         1              0       2.000000
          Peterpeter         0              2       2.000000
         118D0343316         4             10      -2.571429
             a053036         6             18      -0.500000
           CindyFang         7             14      -1.142857
         j13579aeiou         1              0      -4.000000
         shoulderlin         1              0      -4.000000
             CinSung         1              0       2.000000
           joanchang         1              5      -3.000000
            maccling         8             35      -2.651163
          cchs311060         5              0      -0.400000
         111D0382472        11              0      -3.818182
             Lillian         1              0       2.000000
           greatuang         3             20      -3.043478
         104D0379801         4              0       0.500000
                Kira         4              5      -3.333333
            lingling        15              8      -1.391304
        hsienhsienwu         6              7       0.307692
         toadfreefly         1              0      -4.000000
             Michael         1              1      -4.000000
        Tang-kai-han         1              0      -4.000000
           liusinted         1              0      -4.000000
   Vanessa3479622857         0             21      -4.000000
            msaviras         2             13       0.266667
        smpss89384m1         1              0      -2.000000
              Jiehan         0              1      -4.000000
         130D0452873         1              0      -2.000000
           104602016         8             11      -1.052632
         106D0439773         3              3      -4.000000
          yihsuan945         4              3      -0.285714
         vc0401mayor         1              2      -1.333333
              v168tw         2              5      -1.142857
              ahua24        27             45      -2.138889
    onebyonetizzybac         3              0      -2.666667
          lianglichi         1              3      -2.500000
       GN008D0123877         3              2      -0.800000
           superlien         3              2       1.200000
              magg69         0              1      -4.000000
         kevinxsmile         2              6       1.250000
            peggy919         1              0       2.000000
            minkaung         6              2      -3.250000
         130D0453206         0              2      -4.000000
              peiyin         1              5      -4.000000
              EnoLiu         2              2      -4.000000
              thwu33         3              0      -4.000000
          cchs112117         1              1      -4.000000
                juse        28             55      -2.771084
              themis         6             42      -0.958333
               Alvin         1              0      -4.000000
          60521happy         0              2      -2.000000
           gracetsai         1              0      -4.000000
          Lin2prisca        10             10      -0.400000
             LeonSYU         2              1      -2.666667
         laichenting         0              1      -4.000000
        0304D0288607        18              3      -1.142857
              linda0         1              1      -1.000000
           YiKaiZeng         7              3      -2.200000
              lianyi         7             15      -1.545455
              Celine         0              2       0.000000
              p10868         2              0      -4.000000
               Kapon        10              3      -2.615385
          cchs112111         3              8      -3.454545
            JuneTien        32              5      -2.000000
             a54987a         1              0      -4.000000
               HgrLu         3              5      -2.500000
           104602519        31             35      -0.969697
           CHENYI228         9             11      -1.100000
         petersonpan        26             20      -3.565217
         seansophia9         4              4       0.250000
         m919gigi325         1             61      -4.000000
         kevin412101         1              1      -3.000000
           SilexChen         9              0      -1.333333
            twowin24         0              1       2.000000
            jc-chung         0              2      -1.000000
              a54294         5             19      -0.416667
           yanglifan         4             23      -3.703704
             j913451         7             22       0.000000
            cuteziyi         1              6      -4.000000
           Johnsonho         0              2       1.000000
       MountainHuang        46              5      -1.176471
          zhuqing416        18              6       1.333333
            MaxLeung         4              4      -3.750000
        Schiang12813        16             20      -2.444444
              pin823        13             25      -0.789474
           henryma68        13             18      -0.774194
            likecece         0              2      -1.000000
          cchs112048         1              0      -4.000000
           bnb525584         2             16      -3.333333
            Juliet88         5             19      -1.500000
              nanale         1              5      -4.000000
            MAMACHEN         0              4       0.000000
         102D0325901         8              3      -1.818182
           JosephLin         2              0      -4.000000
         raypeng1622         2              0      -4.000000
          peace_Jean         1              0       2.000000
           leonn0724         0              1      -4.000000
                Rosa         0              4       1.500000
                 ljj         1              0       2.000000
           104552026        46             23      -2.405797
          wangmeimei         1              4      -4.000000
         106D0362959         7              4      -0.181818
             95yklee        12              3      -1.733333
         MianBeiChen         1              2       0.000000
                code         6              5      -3.272727
               biott         1              8      -3.333333
          JoannaChuu         1              1      -2.000000
           ZhuYingWu         1              3      -4.000000
          Yun-HuiLan         1              0      -2.000000
         a0953950904         3              0      -5.333333
             Chihhua         2             80      -3.731707
            t7141123        17             13      -2.333333
                cssc         3             16      -4.000000
           SakinuLin         1             12      -4.000000
         tiddus87780         1              0      -4.000000
             IvyShen         0              4      -4.000000
           JackyChen         2              0      -4.000000
       LeoWangshine2         4              3      -1.428571
             JingHan         1              0       0.000000
            RubyWang         2              0      -4.000000
         zxc10211789         1              0      -4.000000
         134D0345721         7              0      -3.714286
           yanchuLee         7              3      -0.400000
       c556620032003         1              2      -2.000000
        136_D0347932         3              0      -4.000000
          HowardTsai         3              0      -2.000000
          vicky38385         1              0       2.000000
         107D0340534        12              3      -3.466667
            KYLE1017         3              1      -2.500000
           loyalyang         8             14      -0.818182
          iscoo16071        13             19      -1.625000
             ccyu789         1              0       2.000000
          singlewing        23             23      -0.782609
          faureechen         0              1      -4.000000
         blank255986         3              0      -1.333333
       shupingfang99         6              7      -2.153846
            nmm20013         0              1       0.000000
               Juici         2              3      -1.200000
       colorwind1226         1             18      -4.000000
          cchs112019         0              3      -2.000000
          cchs311064         1              1      -2.000000
                 nlh        26             17      -3.023256
          kylsonwang         0              1      -4.000000
          ctes954109         0              1       2.000000
            bowenkuo         0              1      -4.000000
           luca10234         1              1       2.000000
            JimHuang         0              2      -1.000000
            ooppiisw         0              2      -4.000000
             MimiYou         4              6      -2.200000
            oxxo0521         4             20      -2.916667
            yuan1223         0              2      -4.000000
              Leeggg         1              1      -4.000000
          csc1021008         1              8      -3.777778
             a911305         4              2      -1.666667
            ChrisLee         0              2      -2.000000
            lmps_dea         5             94      -3.232323
          jack980180         3              1      -3.000000
        ex39990662qw         9             57      -3.030303
                zeta         2              2       2.000000
             YuHanCo         5              0      -4.000000
              Elly73         0              2      -4.000000
           Michael34         4             12      -3.625000
            M0413779         0              1       2.000000
             TerriLi         2              0      -5.000000
              TinaLu         1              1      -3.000000
              RyanLu         3              1       0.500000
        TungtungKang         2             13      -2.800000
            EricTsou         2              0      -4.000000
       GN008D0067593        18              4      -1.818182
          ching88689         1              0      -2.000000
         106D0340976        24              3      -2.222222
         104D0338069         3              0       0.000000
        oop103703019         4              1       0.000000
         Daniel30501         1              2      -1.333333
         111D0410051         7              5      -1.500000
            Danberse         5              0      -4.000000
 ncucsie104_allenlee        22              3      -2.640000
           104602030        14             18      -1.000000
        qaz741850428         5              5      -1.600000
            jwu0000a         1              0      -4.000000
           Amykimura         0              4      -2.500000
           ViviTseng         2              0      -1.000000
        andychen4435         0              7      -4.000000
           WanShanLu         1              5      -4.000000
          daphnefish        36             30      -1.969697
              JaneTu         1              0       2.000000
          eileenwang         0              1      -4.000000
              t03082         1             71      -4.000000
              twokam         1              0      -4.000000
          chuang1986         0              3      -4.000000
         weitingchen         3              0      -2.666667
        jason1004156         1              0      -4.000000
              gw0575         1             36      -4.000000
          cchs111226         2              3       0.000000
              adamli         5              1      -2.000000
