                User   Dropout    Non_Dropout            IPI
          cchs312003         9              1      -1.400000
          Devilseven         1              7      -2.500000
             EnyaKuo         3              0      -2.666667
           PasonChen         1             13      -3.142857
            Yu_Hsuan        17              4      -2.571429
           joehuang1         3              1       0.000000
            BOWEICHO         3             41      -3.818182
           ViviaTsai         2              9      -2.363636
        kally3732815         2              6       0.000000
             donna35         6              2      -1.500000
          Daniel_Liu         6              2      -4.000000
            yochmnmm         1              0      -4.000000
              ok0818         0              1      -4.000000
           jinju5525        13              5       0.444444
             changjc         0              7      -4.000000
            chonepin         2              2      -5.000000
              CHL043         0              5       0.400000
        jonathan7998         5             13      -0.111111
             jim0316         0              1      -4.000000
            37657092        13             63      -1.710526
          Debbie-Cat         7              9      -1.250000
             LIN1018         0              5      -3.600000
          LAIKUEIHAI         0              1       2.000000
             kaijiun         1             36      -3.837838
            miluky86         6              0      -5.000000
          f124386683         5              8      -1.692308
            g9301055         1              0      -4.000000
       redblack30333         1              0      -4.000000
   xueyuxingfeng1995         1              0      -4.000000
          cchs111090         4              1      -0.400000
           banbantry         4              6      -4.000000
          cchs111002         3              2      -2.400000
          cchs312007         3              0       0.000000
          Su-JunJian         2             10      -0.500000
         jameschenhc         5              1       0.666667
         mochi080525         1              0       0.000000
        didi987roger         0              4      -1.000000
            harry777         2              0      -2.000000
           AnitaYang         1              0      -4.000000
       FangShanChang         1              3       1.500000
              ZA0930         8              2      -1.400000
              Chanyi         1              3      -1.500000
           suup30888        16             31       0.000000
          cchs111015         7              2      -1.111111
               ivywu         3              6      -2.888889
     HuangSiang-Chun         1              0       2.000000
             addywey         3              2      -2.800000
          sandra0914        17              1      -3.111111
               Tommy         7             19       0.076923
          pumpkinder         2              0      -4.000000
          linchi5436         4              3      -3.142857
          cchs111077         0              1       0.000000
              rayjoy         3              6       0.666667
          TiffanyLin         1              0      -6.000000
          cchs111059         2              0       1.000000
         ShirleyChou         1              1      -2.000000
           LukeHuang         4              1      -2.800000
                1220         1              2      -4.000000
         rming600423         2             14      -0.875000
             lun2709         1              1      -4.000000
                 CYH         5              0      -2.800000
          cchs111086         1              4      -1.600000
              huilin         1              5      -4.000000
               ycjaw         2              4       1.000000
              venusy         4             11      -2.400000
                Dodo         3              0      -2.000000
         130D0411971         0              1       2.000000
          Amanda_Pan         6              1      -3.714286
               EastL         4              0      -1.000000
          VincentDin        23              1      -0.500000
         ycchenofthu         0              2      -3.000000
         wenhsin1123        10              9      -3.578947
            ptfire58         2              6      -4.000000
          kevin15121         3              2      -0.800000
          Louisechui         1              1      -4.000000
           KevinLiao         5              5      -3.200000
       melodyxmelody         1              8      -1.555556
            ching407         2              0      -4.000000
          a975242672         0              1      -4.000000
       talentgeniuss         7             45      -0.653846
              MingSu         1              1      -4.000000
      Ching-jungChen         2              0      -4.000000
         XingXingLin         7              8      -1.600000
            D0333653        18              5      -3.913043
          cchs111001         0             16      -2.625000
         hsiehtzumin         6              7      -0.615385
         kid8889mail         4             10      -2.857143
         a9101578833         5              2      -1.142857
          cchs111040         2              3      -2.000000
            r2271161         1              0      -4.000000
         RebecaTseng         2              6      -2.000000
           zinen1115         1              9      -3.600000
         lungchu8891        19             44      -2.539683
         HungPoHsuan         6              8      -1.571429
        WEICHENGZHOU         3              7      -1.200000
           Chenallen         5              3      -2.750000
            flor7890         3              0       1.333333
          iris123321         1             17      -3.333333
              Yu-Pei        20              1      -2.095238
           104602524        27             40      -1.940299
         235D0288816        21              3      -1.000000
          eric850811        11              3      -3.714286
         wshsieh0612         1             14      -4.000000
             tna7798        12              8      -0.700000
          peterwu236         2             17      -1.157895
         toro2312014         4              8      -1.166667
            V5554292         3             10      -0.153846
           weber1122         6              1      -2.285714
             ReneeSi         2              3      -0.800000
   missbreadsuperman         8             34      -2.666667
            ncusmith         1              0      -4.000000
       linjuichang16         0              1      -4.000000
               Randy         1              0      -4.000000
              ingrad         2              1      -2.000000
         132D0389750         2              1      -1.333333
  peggy5625peggy5625         2              2      -4.000000
       marchuang1002         1              0      -4.000000
         ChenShiWing         4              5       0.222222
            lollypop         2              0      -4.000000
                 NID         2              2       0.500000
              axe530         1              3      -2.500000
             kay0504         2              5      -0.571429
         cherry_shiu         1              0       2.000000
            liau1101         0              2      -2.000000
          cchs111182         1              0       0.000000
          cchs312004         9             11      -2.800000
               senni         6             14      -2.500000
               Kp930         1              0       2.000000
          SavageWang         1              1      -4.000000
         ZZ998976543         1              2      -1.333333
          ming410429         1              0       2.000000
         131D0427190         4              0       0.500000
         Szu-WeiYang        19              8      -2.074074
         adanlin2000        14              1      -3.466667
           asd935750         1              1       1.000000
            HenryYan         1             13      -3.285714
          ChelseaLee         2              1      -4.000000
          ellson2330        18              5      -2.956522
        linxianglong         4              1      -1.200000
         IsabelleKao         3             14      -2.705882
          ann2005abc         6             13      -0.631579
         pig12301230         0             10       0.000000
             Aliedgr         2             11      -1.384615
             PerryHe         5             12      -3.411765
     chunsheng_huang         6              1      -1.714286
         120D0309396        31              0      -1.225806
        cokochen0511         0              1      -4.000000
                fd56        11             71      -2.731707
             santony         0              1      -4.000000
            she52amy         4              3      -2.571429
               amywu        11             60      -2.591549
              j74219         4             12      -1.875000
          cchs112192         5              3      -0.750000
          meeier5422         0              3      -4.000000
          cchs112134         0              1       2.000000
        potfish07iga         6              0      -2.000000
         leo11234leo        17              1      -3.444444
     arler0971113151         0              3      -4.000000
          posenhuang         4             11      -1.200000
             lichuan         1              0       2.000000
              luchem         0              3       0.000000
            ElsaChen         0              4       0.500000
        va770fschuan         0              3      -4.000000
           billy2549         1              0      -4.000000
         huangmimimo         1              0      -4.000000
            kome0806         3              3       0.666667
             littleq         3              3      -3.666667
         130D0310428        18              3      -2.095238
              axc828        12              3      -2.666667
           mimicheng         9             15      -2.333333
                 jll         9              1      -3.400000
          allenliu24         7              5       0.666667
            s1023007         3             15      -1.666667
        MichelleChen         1              6      -0.285714
             k018105         1              0      -6.000000
              chikit         1              0       0.000000
             a126116         0              5       0.800000
       Jia-hongZhang         1              0      -4.000000
             Apple09         1              1      -1.000000
               Sonny         1              0      -4.000000
 alltroopfirstkiller         5              1      -2.666667
         aapp5201617        11             12      -3.565217
                Sean         0              1       2.000000
           JennyChiu        32             56      -1.318182
         jor125yahoo         4              7      -3.454545
            D0248650         2              0      -2.000000
             ed0033w         1              4       1.600000
              YosiWu         0              1       2.000000
            JasmineC         5              2      -1.428571
             JinYing         2              3       0.800000
             BF99509         4              3      -3.142857
           JudyTseng         0              6      -3.000000
             m228434         1             73      -3.837838
           104522041         1              0      -4.000000
       GN008D0075296        16              4      -3.300000
             moz2545         3             14      -2.705882
         107D0439254         1              0      -4.000000
            LilingKo         2              0      -1.000000
          jacob83629         0              1      -6.000000
          aeojflower         4              8      -2.166667
            bob21111         2              3      -1.600000
            AnnChung         5              0      -3.600000
            s0906015         1              0       2.000000
         104D0372792         2              0      -4.000000
         m3141592629         8              1      -2.222222
           weope1027         2              1      -0.666667
            AndyChen         4             48      -2.923077
          cchs111150         4              0      -2.000000
          a104021036         1              1      -2.000000
          q223168181         0              8      -3.250000
          andymememe         5              0      -2.800000
           ngchong04         4              0      -2.000000
          cchs111020         1              1      -4.000000
             Jim5566         2              0      -1.000000
          cchs311085         6              3      -2.666667
          spsp500785        13             21      -1.470588
           104602516        30             12      -0.571429
            monascsh        20             60      -2.500000
              LinLin        22              5      -4.074074
           jimmytsao        18             28      -2.521739
           Allen0208        21             19      -0.950000
    cchsxcgvhn311082        20              3      -2.173913
         120D0383056         2              0      -1.000000
          cchs311021         1             11      -4.000000
              AmosWu         3              0      -2.666667
         101D0308382        29              6      -2.971429
            AmicoLin         1              0      -4.000000
         n4610042002         4              2      -3.000000
       deepforest101         0              1      -4.000000
          sunnycheng         0              1      -4.000000
        jauhorngchen         2              3      -3.600000
              m21423         0              2      -1.000000
           vince0730         1              0      -4.000000
           scpacking         1              0      -4.000000
             Fongzih        77             21      -2.020408
         112D0441938         1              0      -4.000000
          daimeievan         3              9      -0.333333
            xzca1922         5              1       1.333333
            ttfarmer         4             68      -3.750000
            ab620918         2              0      -2.000000
           130D02932         9              7      -1.750000
      howard19960527         5              2      -2.000000
       philip8787125         1             15      -2.250000
           Ryan-Chen         2              4      -2.333333
       ChingYi-Hsiao         5              6      -1.454545
             SUJUELF        17             12      -0.551724
               SuJan         1              0       2.000000
          cchs112062         1              3      -4.000000
         gary1225444         1              0       2.000000
            fable227         3             16      -2.736842
             Melissa         2              0       2.000000
              dwtsai         1              0      -4.000000
          yhsiuchuan         2             35      -3.567568
            tinahung         1              1      -4.000000
        HsuKaiHsiang         0              5      -2.800000
            CHIYUHSU        19             89      -1.629630
    peterwendy419619         0              1      -4.000000
        wade13wade13         2              0       0.000000
          betty77923         3             17      -3.800000
            e7772211         0              1      -4.000000
           chichhong        42             51      -1.096774
  LiutsunghuiLiu15f7         1              0      -4.000000
              HTnami        32             48      -0.750000
         ChuangDeYou         4              1      -0.400000
          cchs111133         1              1      -4.000000
         chutzuhuang         1              1       1.000000
               Sufia         6              0      -3.333333
            flyparty         0              4      -4.000000
              Felica         8             45      -3.320755
           hsinhsinl         7              7      -1.000000
       npu1103417041        12              5      -3.647059
       chenyinchiang         9              1      -2.600000
         LinChingYao        11              0      -3.636364
              6t5115         2             17      -4.000000
          cchs111193         0              6      -3.000000
              h30299         1              0       2.000000
                 stu         1              0      -4.000000
         ChenYuhMing         9             10      -1.789474
            g1410258         2              2      -3.000000
             Amyyang         0              2      -4.000000
             yuanlin         5              5      -1.400000
               jojof         1              0      -6.000000
         cokeiusw10h         9              0      -2.444444
         WishingWang         1              0       2.000000
            D0238750        17              6       0.434783
        rueyshinchen         2              2      -0.500000
            M0318284         3              5      -2.750000
              nec654        15              9      -1.416667
         102D0337395         9              3      -2.333333
           103703003         1              1      -1.000000
           windy0616         1              0      -4.000000
                TNUA        33             26      -3.593220
         130D0389275         1              0      -4.000000
          wl02259170         0              2      -4.000000
              walter         2              0      -2.000000
         235D0210323        15              1      -2.375000
          zxcsunnyhu         7             30       0.162162
         ThompsonDai         2              4      -1.333333
            wc620jja         1              7      -1.750000
          henryhuang         0              4       0.500000
          yachihuang        33             41      -2.945946
           ellenchiu         1              0      -4.000000
            smf12312         1              1      -4.000000
              yiwenn         0              2       1.000000
             christy         1              0      -4.000000
          cchs111083        18             29      -2.297872
                 wwj         2             11      -3.076923
         136D0309722         9              2      -0.363636
         andy7831900         3              8      -0.909091
         133D0353591        16              0      -4.000000
                Kiki         6              6      -0.166667
            DavidHsu         1              0      -4.000000
         azx56565566         0              2      -4.000000
                  Ev         1              2      -0.666667
             isethan         2              4      -2.000000
              bamboo        38             43      -0.814815
                cdcd         0              1      -4.000000
           chiao1218         2              0      -1.000000
          YaChunYang         1              3      -2.500000
             520fish        28             19       0.510638
          loveaudrey         1              2      -2.000000
               FengL        24             10      -3.000000
            d0280566         2              0      -4.000000
         117D0341829         4              2      -2.333333
            d0242429         8              2      -2.000000
                 Kan        15             15      -1.733333
           nk1500260         1              1      -2.000000
          mike841112         6              9      -3.466667
              yi9812         0              2      -1.000000
          cchs112193         1              2       0.666667
             yjhsieh         2              0      -5.000000
          cchs111022         1              0       0.000000
             gary201         1              0       0.000000
           YuhanTsao        17             48      -2.246154
       cathy09272004         2              5      -3.142857
           anole1106         2              0      -2.000000
              Zabeth        11             29      -1.000000
         garyhsieh15         2              1      -4.000000
             Wenhsiu         3              0      -2.666667
               Izume         7              0      -4.000000
           Esperanza         1              1      -1.000000
               shong         1              0      -4.000000
          best892409         4              5      -0.666667
         130D0353132        12              3      -1.066667
              Dragon         1              0       0.000000
          cchs311076         3             32      -3.142857
             katehsu         4             81      -3.388235
            shenglow        12              4      -1.375000
           carolntit         1              0      -4.000000
            marymary         7            102      -3.908257
        MenghsunChen         1              1      -4.000000
                 KPS         0              7      -4.000000
            YvonneLi         6              4      -2.400000
          cchs112046         1              0       0.000000
             AllenLU         2              0      -3.000000
           ChihYunKe        12             42      -2.370370
          miyukiLiao         3              0      -0.666667
          Lisaaaaa01         3              2      -2.000000
            MariaAng        11              6       1.176471
         106D0341064         4             10      -0.142857
        graceting123         3             15      -2.333333
         116D0341859         1              0      -6.000000
             jo4fu6z         1              0       2.000000
            AnneYang         9             63      -2.027778
            Jason_li         0              3      -4.000000
          david10188         1              0      -4.000000
         woohyuk0902        38             39      -3.480519
          cchs312015         4             51      -2.072727
          cchs311058         3              4      -2.857143
              Rutina         2              7      -0.666667
            health85         4             11      -2.266667
               sbsb2         7             59      -3.060606
              311088        31              8      -1.025641
          NIU_Daniel         2              0      -3.000000
          js93173388        19             88      -3.457944
               YiHui         9             12       0.952381
          cchs111106         0              1       2.000000
            tcclinjh        25             99      -4.758065
              yehyeh         1              3       0.000000
        Yehchiahsuan         1              0       2.000000
            MarkChio         4              0      -1.000000
         127D0310015        14              3      -1.176471
       yang110310502         1              3      -1.000000
             kid8591         5              1      -2.000000
        aa0988893635         3              1      -5.000000
       KatherineChen         2             14      -1.625000
          MelodyYing         0              1      -4.000000
        KevinHsu6f6c         2              9      -0.181818
              Aercus         1              0       2.000000
               BenCh         1             29      -3.600000
            Henrylin         4              2      -1.666667
          cchs112102         1              2       0.000000
        JenniferTsai         1              0      -4.000000
          hank071612         3              5      -1.000000
         123D0346634         5              1      -2.000000
         a0988641656         4              2      -4.000000
              leoyao         1              1      -1.000000
          RubyYang18        65             75       0.371429
            roblbran         1              0      -4.000000
             jchen30         1              0      -4.000000
                 WRZ         2              1      -2.666667
             brandle        16             59      -1.520000
        karta1597143         9              6      -2.800000
           ellychung        10              2      -0.166667
        htconee82014         4              1      -3.200000
          ting851004         1              0      -4.000000
              WangYu         3              0      -2.666667
        gary12250912         0              1      -4.000000
             m840629         1              1      -2.000000
          cchs311055        14              0      -4.000000
             j070803         1              0      -2.000000
           CotyHuang         3              4      -2.571429
              cfanpa         0              1       2.000000
          cchs111043         0              1      -4.000000
          TiffanyKan         2             10      -2.166667
              wjesse         1              0      -4.000000
           CarolPeng         1              1       2.000000
             leo0803        46             65      -0.738739
              t03020         1             70      -3.859155
       chunchun16545         2              1      -2.000000
          Chihhui729         0             43      -3.441860
               JoeSu         2              0      -1.000000
            beeme721        35             34      -0.956522
          PhoenixYuh         2             18      -2.000000
         odeliatseng        23              3       0.615385
          cchs112087         9             14       0.869565
            aingejwo         3              4       0.285714
               Gaitz         1              0      -4.000000
                 djl        17             29      -2.826087
          jimmy73123         6              4      -2.800000
             pik5622         0              2      -4.000000
          cchs111207         1              5      -3.000000
             tptpaup         0              1       0.000000
           SophiaLee        53              7      -1.633333
           oOSandyOo         2              0      -4.000000
           104602015         8             18      -1.846154
          shih510320         2              1      -4.000000
                Clay         4              2       1.333333
           liou40819         5             27      -2.687500
            BF102081         4             10      -3.142857
           kiki40223         3              5      -1.750000
          cchs111174        10             38      -1.625000
            linchiah         5              0      -3.600000
           a14182526         0              1      -4.000000
            star5123         8              3      -2.363636
            tnwhalos         0              4      -4.000000
       small20112000         6              3       0.000000
         130D0411998         4              0      -3.000000
          karinanatw         2              2      -3.000000
       AnnyLeung0317        10              1      -3.636364
               shooe         1              1      -1.000000
         Dong-chunWu         0              3      -2.666667
          KappaTseng         4              3      -0.571429
          CandiceLai         1              2       2.000000
                cliu         4              3      -2.000000
                  ml         3             17      -2.600000
              hsiang         2             12      -1.428571
            Caroline         5             42      -3.404255
           adgs58977         1              1      -2.000000
             guoxian         3              0      -2.000000
              cphung         1              1      -4.000000
          0939073569         4              1      -4.000000
         AllenDowney         1              1      -2.000000
      shine627627627         3             39      -3.380952
              ccchen         1              8       0.444444
             hycheng        10              5      -2.400000
           cherry317         2             21      -3.043478
         118D0309322        23              4      -3.777778
             gttsung         2              2      -4.000000
         122D0345897         4              2      -2.666667
        johnson16871        11             16      -0.074074
               bowei         0              1       2.000000
             ouo1207         0              1       2.000000
         Patrick0620        12             36      -2.250000
               HaoYu         1              2      -4.666667
           hardy5602         1              0       0.000000
            rlma0942         0              2      -1.000000
             DylanHo         2              2       1.000000
          Winnie3234         1              0      -4.000000
            ry12an34         0              4      -1.000000
    MachineLearingTA         1              0      -4.000000
            lilu0908        14              0      -3.428571
        ixmxthexbest         3              0      -2.666667
          cchs311057         6              2       0.250000
          cchs112101         6              2      -2.000000
               tonka        31             13      -0.590909
             y10o16u        10              0      -0.600000
              fs2243         5             20      -3.280000
           103552017         4              1      -1.600000
       CafejingChang         4             16      -1.700000
               glenn        14              1      -2.533333
            mingshin         0             27      -3.407407
         107D0485715         3              6      -2.000000
            ann31628        24             28      -0.192308
            Broccoli         1              1      -1.000000
          SophiaTsai         0              1      -4.000000
            ruby0328        27             95      -2.803279
             JohnTan         1              0      -4.000000
               eowyn        14             12       0.923077
         235D0253467        11              0      -2.363636
            BF102023         1              1      -1.000000
             zsp0329         1              0      -4.000000
         104D0338439         0              1      -4.000000
                 yfs        18             17      -1.942857
             d591016         1              0      -4.000000
               Smith         1              0      -4.000000
         105D0379903         1              0      -4.000000
               Chani        20              2      -1.272727
         lucyleng168         0              1       2.000000
        stcharlielin         2              2      -0.500000
            D0172088         1              1      -5.000000
            lily1201         1             16      -3.647059
          Father0908        11             39      -1.280000
           CapYutong         0              1       2.000000
           Liliann12         1              0      -4.000000
              evelyn         2              0      -2.000000
              naiyou        13             81      -0.744681
           mark80265         1              0      -4.000000
            wucpeter         1             47      -3.875000
            a9517874         4              1      -2.000000
         132D0353987        10             10      -1.000000
         GaryAoIeoNg        17             25      -2.523810
            D0145153        14              0      -3.000000
            coolygo9         4             18      -0.363636
           a22781717         0              1       2.000000
          shinjielee         0              4      -2.500000
            TingChia         3              3       0.333333
           SashaWang         5              0      -2.800000
     amamda168168wei         1              0      -4.000000
              HUI-YU        19              8      -0.888889
       taipei1000827         3              0      -2.000000
               ggban         8              4      -1.333333
           104602018        18              4      -1.454545
      steven19970812         4              2      -1.000000
            jim89629         1              1       2.000000
            iminashi         5              2       0.000000
           eric41117         1              0       2.000000
             Kingson         0              1       2.000000
             yslin39         5              9      -3.571429
         116D0362739         9              0      -2.888889
         YingyingLin         7             15      -2.545455
              TeaYeh         4             34      -4.052632
         235D0354265        22              5      -4.666667
           BettyChiu         0             33      -2.787879
             AllyKuo        12              2      -1.571429
        simpleyang10         0              2       1.000000
     Oliver104021044         1              0       2.000000
         118D0382868        35              4      -1.025641
         120D0392062         5             10      -0.666667
               MeiLe         1              0      -4.000000
          jessicawow         1              3      -1.000000
             chiahua         5             17      -2.363636
             rschung         0              1       2.000000
               Levis        33             19      -1.038462
              ccmite         3              1       0.500000
           SophieHon         1              0       2.000000
         328D0177381         5              0      -1.600000
          cchs112050         1              7      -4.000000
         jia-janLiou         2              4       0.333333
            m0305904         0              1       2.000000
                t024         8             29      -3.189189
         gary1225099         2              1       2.000000
              Wuseii         1             17      -3.000000
              hs2233         0              3      -4.000000
             erhulee         3             69      -3.250000
              JIAJIE         7              2      -1.555556
         121D0345276         1              0      -4.000000
    joey19joey19joey         2              0      -4.000000
              jialin         0              7      -3.142857
          cchs312010         2              0      -5.000000
             ttchien         7              1      -3.250000
           YCLiou617        16             88      -1.730769
          lulu558773        16             16      -1.375000
         106D0485612         0              1      -4.000000
              pcshen        18              1      -2.000000
         josephh0415        10             16       0.153846
             kkcheng         1              0      -4.000000
         Zhi-HongKao         6              1      -2.285714
          tw00610499         3             10      -1.538462
            JOYCEKUO         1             12      -3.076923
         104D0483726        23              1      -2.583333
         brave815527         1              0       2.000000
              JohnHi         4              0      -0.500000
                mins         2              0       2.000000
          1021245129        54             77      -1.694656
  sherry50192002093e         1              1      -4.000000
       PatriciaYeh84         2              0      -2.000000
   handsome525141125         1              1       0.000000
           chim05450         1              4      -3.200000
          JaneTu5b6a         1              3      -4.000000
               F-Ben         2              1      -4.000000
            D0170259         1              0       0.000000
       JanejaneHuang         4              3      -3.142857
            wusharon         2             11      -1.692308
         136D0470273         1              0      -6.000000
             jues003         0              3      -2.000000
          cchs112106         3              6      -4.000000
         Archercheng         2              9      -2.363636
         a0915002092         1              0      -4.000000
             ounamax        17             82      -1.333333
        cloudlee1026         7              3      -2.600000
         ll101150769         4              0      -4.000000
       jasonchen0924         4              3       1.428571
             WillLiu         4              1      -0.400000
            b0341082         2              0      -2.000000
            ChingHaw         8              1      -2.000000
              alexyu        20             25      -1.377778
              yyfanj         6             12      -1.777778
           ShoopaMan         5              5      -1.200000
           OmArrHome         3             37      -3.250000
             cmsb100        13             10       0.086957
           hua649186        53             34      -1.034483
            tina1202         1              0      -4.000000
              apeter         2              1       0.000000
          StefaniekO         0              4      -4.000000
                  HB         1              2      -4.000000
           chiayuliu        18              1      -0.947368
          Eric131400        25             22      -0.382979
          JerryHuang         3              1      -2.500000
                duck         2              0      -1.000000
          paggy50234         8              4      -1.666667
             v328510         0              1      -4.000000
                Kuei         1              0       2.000000
              jackho         1              0      -4.000000
            LuLu0f53        34             68      -3.215686
          cchs111103         7              9      -2.875000
         107D0485701         6              0      -1.000000
         132D0353824        21              1      -2.272727
             cfcintn         4              1      -4.400000
            AndyWang         1              0      -4.000000
          sz32346812         2              0      -1.000000
           james8384         7             10      -0.705882
         111D0309115        10              2      -4.500000
          lily321426         3              0       0.000000
            cpodster         1              7      -1.250000
            s1022718         4              4      -3.500000
             tearous         2              0      -4.000000
            Jerry741         1              0       2.000000
           104602013        15             33       0.208333
            wuvortex         1              0      -4.000000
              Lin-yu         0              1      -4.000000
                Tuna         1              0      -4.000000
      changing787834         2              2       0.500000
           aegis0702         3              1       2.000000
               Aland         2              0      -4.000000
          arno668125        26              0      -3.461538
        rubychou1116         0             10      -1.800000
          meihsin119         3             10       0.615385
           104522108         1              0      -4.000000
          charlietxg         1              6      -2.571429
              leolee         1              0       2.000000
                mizu         6              4      -2.600000
            123jenny         2              6      -3.250000
                 cjc        29             51      -1.025000
           a00002234         3              1      -0.500000
              tcy212         0              3      -4.000000
          thomastang         2              0       2.000000
           FCUCA2014        37             13      -3.080000
                 Ali         5              5       0.000000
          kuohsunkuo         2             22      -2.000000
            ggg77599         5              1      -1.333333
          huangpeter         1              0      -6.000000
             Newera9         1              1      -4.000000
            a8608281         6              2      -1.000000
          cchs112030         0              1      -4.000000
      ChinChuanHwang         0              1       2.000000
          acdc201512         1              0      -4.000000
          cchs111061         0              1      -4.000000
            s1023009         5              5      -0.400000
             TinaHou         1              0      -4.000000
            gengshuo         3              7      -0.600000
        oblivion8514         1              0       0.000000
         Jerry0Liao0        16             11      -1.629630
              AnnAnn         7              6      -2.153846
         fengyin0721         0              2      -4.000000
         paulyao4941         2              0      -4.000000
          cchs112183         1              0       0.000000
      cindy22sandy24         3              1      -3.000000
               FCU11        11              4      -3.200000
              neil93         1              2      -2.000000
             shixian         0              2      -4.000000
           uchanpang         0              2      -4.000000
            jmtn1907         6              6       1.333333
          happyagnes         5              5       0.800000
       jasonchin0924         1              0      -4.000000
         131D0453237        24             16      -0.400000
          cchs311026         5             21      -1.461538
              DawnWu         2              1      -2.000000
             marslin         9              7      -1.375000
          cchs112162         1              0      -4.000000
             kuoshih         4              5      -1.111111
           MagicBear         3              7      -1.800000
             roy4123         2              8      -3.600000
      foolwater12230        12             30      -0.761905
           069212543         2              3      -1.600000
               MelYu         1              7      -3.250000
            JustinSu         1              0      -6.000000
           s26863773         3              9      -2.000000
             A28J086         1              0       2.000000
          cchs111035         0              3       0.000000
    zhangzucheng2003         2              9      -2.727273
         akb48101710         0              2       1.000000
              JiaJia         2             10      -1.666667
            koyawlin        22             17      -1.333333
           104602501        27             59      -0.232558
          cchs312013         8              8      -2.500000
          cchs111067         8              2      -0.200000
            a069501a        11             20       0.451613
               nanii        21             60      -3.061728
        RebeccaChang         1              0       2.000000
          cchs311024         9             28      -1.027027
          cchs311084         1              1      -1.000000
          michelle26         3              3      -1.000000
             sin0205         6             57      -3.174603
           VivienZuo         0              1       2.000000
           Hsing-Pei        20              1      -2.476190
          fenghuibao         4              2       0.666667
            TsaoJean         2              8      -1.400000
              beckyy         4              0      -1.500000
             OscarNi         1              0      -4.000000
               jykuo         9              0      -2.222222
         107D0439535        11              6      -1.647059
         rubiktwjack         1              1      -4.000000
         130D0491212         0              2      -2.000000
            cele1112         3              2      -1.600000
            Changmay         0              1      -4.000000
         235D0253437        24              0      -2.166667
            Dereklai         1              0       2.000000
               boudi         1              0      -2.000000
               yuyin         1              8      -3.333333
          cchs111089         1              2       0.000000
          cchs311083         0              6      -1.000000
          yuchia1688         2              2      -4.000000
             will815         2              6      -0.750000
          loyingkuei         0              1      -4.000000
                LOLO         1              2      -0.666667
           diracfang        24             48      -3.666667
           103703004         2              3       0.800000
