Clear_Concept	Rewatch	Checkback_Reference	Skipping	non_dropout	IPI
-102	-86	-90	-166	0	0
-86.4	-36.546447	-12.816117	-10.701903	0	0
-129.9	-76.4	-43.1	-55.8	0	-6
-130.1	-61.628609	-16.143047	-26.328742	0	-6
-87.3	-29.941801	-6.083602	-8.192608	1	0
-110	-47.42265	-5.045299	-42.5	0	-6
-101.248024	-80.5	-39.474012	-42.940118	0	-6
-112.8	-59	-42.2	-47.7	0	-6
-128.2	-76.3	-64.1	-118.2	0	-6
-96.1	-49.5	-22.4	-67.392893	0	0
-143.9	-78.2	-10.883503	-11.567007	0	-6
-129.5	-72.7	-11.781966	-7.634752	0	-6
-80	-71.8	-93.4	-176	1	8
-62.9	-60.8	-80.3	-143	0	2
-68.545299	-46.52265	-58.7	-118.2	0	0
-102	-86	-90	-166	1	0
-102	-86	-90	-166	0	0
-68.705573	-62.6	-85.8	-164	0	8
-118.9	-54.9	-10.071429	-16.714286	0	-6
-93	-81.2	-68.7	-102.8	0	-2
-117	-68	-10.733333	5.8	0	-6
-101.1	-75.9	-22.181782	-16.454257	0	-6
-63	-53.6	-56.5	-100.3	0	0
-106.9	-60.2	-11.291752	-4.483503	0	-6
-128.2	-76.3	-64.1	-118.2	0	-6
-71.9	-46.692893	-56.5	-113.9	1	0
-124.9	-69.4	-27.692893	-81.6	1	-6
-128	-102	-98	-168	0	0
-155.1	-87.4	-16.9	-11.7	0	-8
-59.2	-17.282337	-3.452921	-49.311753	0	0
-50.967544	-41.725658	-18.983772	-25.418861	0	0
-46.3	-51.8	-73.3	-135.7	0	0
-102	-86	-90	-166	0	0
-47.928501	-32.814006	-10.814006	-13.285014	0	0
-50.3	-42.1	-25.8	-46.4	0	0
-72.4	-32.1	-9.8	-62.7	0	0
-128.2	-76.3	-64.1	-118.2	0	-6
-25.967949	-37	-75.8	-140.3	0	0
-128	-102	-98	-168	0	0
-128.2	-100.4	-78.3	-122	0	-8
-65.9	-59	-82.3	-158.2	1	8
-102	-86	-90	-166	0	0
-102	-86	-90	-166	1	0
-102	-86	-90	-166	0	0
-102.8	-54.8	-54.4	-114.7	0	-6
-102	-86	-90	-166	0	0
-102	-86	-90	-166	0	0
-74.7	-64.8	-82.5	-158.3	0	8
-102	-86	-90	-166	1	0
-138.3	-73.6	-9	-0.4	0	-6
-37.8	-56.1	-76.8	-139.5	1	0
-120.2	-100.4	-96.1	-168	0	0
-17.5	-30	-47.5	-97.1	0	0
-128.8	-68.8	-38.4	-88.9	0	-6
-102	-86	-90	-166	0	0
-120.8	-101.1	-96.2	-168.2	1	0
-70.4	-39.6	-23.033333	-86.066667	0	0
-63.1453	-41.2453	-9.6906	-14.8906	0	0
-85.963366	-71.336237	-52.208911	-80.345346	0	0
-48.9	-9.144071	0.977964	-29.622036	0	0
-103.2	-45.639888	-31.619804	-105.859972	0	-6
5.734522	0.036306	5.367261	-30.732739	1	0
-53.6	-43.5	-4.092893	0.214214	0	0
-37.12265	-21.845299	-48	-96.7	0	0
-65.9	-59	-82.3	-158.2	0	8
-102	-86	-90	-166	1	0
-102.447423	-90.2	-108.6	-200	1	0
-80	-71.8	-93.4	-176	0	8
-186.477358	-159.2	-165.6	-290	1	0
-85.619131	-76.4	-97.2	-182	1	8
-48.855489	-96.2	-130.6	-232	1	6
-102	-86	-90	-166	1	0
-91.231779	-81	-101	-188	1	6
-85.619131	-76.4	-97.2	-182	1	8
-76.722942	-77.5	-104.7	-186.2	0	8
-141.199501	-127	-137.1	-248	1	0
-102	-86	-90	-166	1	0
-212.386502	-190.7	-203.1	-341	1	0
-49.133333	-57.3	-92.9	-167	1	8
-65.9	-59	-82.3	-158.2	1	8
-185.796466	-160.229986	-145.829986	-282.976662	1	0
-144.445753	-124.7	-137.1	-245	0	0
-68.705573	-62.6	-85.8	-164	1	8
-51.857688	-90.7	-119.2	-217	1	6
-102	-86	-90	-166	1	0
-155.649083	-97.712271	-108.7	-205	0	0
-99.007059	-131.1	-147.7	-244.6	0	6
-85.619131	-76.4	-97.2	-182	0	8
-102	-86	-90	-166	1	0
-113.656706	-99.4	-116.2	-212	0	0
-60.26077	-64.5	-98.6	-176.3	1	8
-20.12337	-49	-87.1	-160	0	8
-152.8718	-131.6	-142.8	-254	1	0
-248.082419	-209.8	-207.4	-356	0	0
-108.678365	-105.6	-132.8	-230	1	0
-33.105573	-32.705573	-55.8	-104.5	0	0
-55.628571	-90.7	-121.1	-217	1	6
-105.895466	-103.3	-130.9	-227	1	0
-102	-86	-90	-166	1	0
-108.052591	-94.8	-112.4	-206	0	0
-4.571131	-17.887628	-46.5	-97.1	1	0
-220.080599	-186.8	-188.4	-326	1	0
-130.465197	-113.2	-127.6	-230	1	0
-71.692893	-64.9	-87.7	-167	0	8
-102	-86	-90	-166	0	0
-61.552589	-61.10304	-90.9	-171	1	8
-102	-86	-90	-166	1	0
-102	-86	-90	-166	1	0
-148.448485	-134.548485	-128.1	-250.4	1	0
-77.713389	-80.3	-111.9	-197	1	8
-91.651924	-108.8	-136.4	-238	0	6
-158.472987	-136.2	-146.6	-260	0	0
-133.2385	-115.5	-129.5	-233	0	0
-74.36795	-67.2	-89.6	-170	0	8
-136.067207	-117.8	-131.4	-236	1	0
-65.9	-59	-82.3	-158.2	1	8
-114.177008	-136.7	-159.1	-277	1	0
-265.597905	-210.330253	-209.2	-356	0	0
-43.494394	-52.7	-89.1	-161	0	8
-31.55051	-43.6	-81.5	-149	0	8
-15.2906	-54.4	-79.2	-154	0	8
-209.526441	-205.4	-216.2	-364	0	0
-85.619131	-76.4	-97.2	-182	1	8
-68.705573	-62.6	-85.8	-164	1	8
-65.9	-59	-82.3	-158.2	1	8
-68.705573	-62.6	-85.8	-164	1	8
-83.419804	-85	-115.7	-203	0	6
-100.377808	-66.510263	-42.973509	-109.036754	1	-6
-59.6906	-63.7	-93.3	-168.2	1	8
-102	-86	-90	-166	1	0
-439.238817	-352.960458	-327	-542	1	0
-80	-71.8	-93.4	-176	1	8
-102	-86	-90	-166	1	0
-276.08377	-232.8	-226.4	-386	1	0
-20.42254	-63.7	-102.1	-187	1	8
-135.5	-73.6	-27.105573	-84.2	0	-6
-128.8	-75.5	-48.7	-84.5	0	-6
-128.2	-100.4	-78.3	-122	1	-8
-128	-102	-98	-168	0	0
-102	-86	-90	-166	0	0
-120.2	-100.4	-96.1	-168	1	0
-60.1	-77.8	-82.9	-141.5	1	2
-118.76605	-108.6	-121.9	-224	1	0
-120.2	-100.4	-96.1	-168	1	0
-30.735089	-69.1	-96.4	-181	1	8
-84.920634	-55.286772	-38.373545	-47.073545	0	0
-46.514437	-55.1	-91	-164	0	8
-82.935696	-89.5	-117.6	-209	1	6
-40.557428	-43.282971	-72.2	-141.2	1	0
-120.2	-100.4	-96.1	-168	1	0
-82.015535	-51.803884	-18.111652	-22.607768	0	0
-120.2	-100.4	-96.1	-168	1	0
-34.833333	-26.6	-9.966667	-58.666667	1	0
-120.2	-100.4	-96.1	-168	1	0
-42.63934	-22.146447	-17.7	-34.23934	1	0
-10.867949	-41.3	-70.2	-136.8	1	0
-124.435294	-113.2	-125.7	-230	1	0
-61.967949	-62.8	-83.9	-164	1	8
-44.775255	-37.291752	-33.591752	-85.7	1	0
-71.8	-28.825403	-4.025403	9.290994	0	0
-123.606054	-120.1	-133	-233.7	1	0
-68.705573	-62.6	-85.8	-164	0	8
-22.4	-39.1	-75.8	-143	1	0
-68.705573	-62.6	-85.8	-164	0	8
-65.9	-59	-82.3	-158.2	0	8
-68.5	-63.6	-80.9	-158.4	1	8
-38.073599	-46.6	-16.286799	-38.360398	0	0
-79.333333	-33.7	-28.166667	-91.2	0	0
-47.669703	-25.804555	-8.604555	-14.452277	1	0
-68.5	-63.6	-80.9	-158.4	1	8
-120.2	-100.4	-96.1	-168	1	0
-85.019804	-81	-99.1	-188	1	6
-120.2	-100.4	-96.1	-168	1	0
-78.398216	-34.532739	-34.932739	-100.932739	0	0
-61.967949	-62.8	-83.9	-164	1	8
-68.5	-63.6	-80.9	-158.4	1	8
-68.5	-63.6	-80.9	-158.4	1	8
-50.258359	-60.3	-83.6	-155.7	1	8
-120.2	-100.4	-96.1	-168	1	0
-43.8	-32.003884	-3.415535	-0.842723	1	0
-107.2	-48	-21.992893	-62.3	1	-6
-34.532739	-21.465478	8.269045	7.801784	0	0
-128	-102	-98	-168	0	0
2.066025	-0.145299	1.388675	-42.711325	1	0
-129.9	-69.8	-29	-59	0	-6
-128.2	-76.3	-64.1	-118.2	0	-6
-81.2	-30.92265	-13.245299	-52.5	0	0
-104.4	-46.9	-29.4	-86	0	-6
-128	-102	-98	-168	0	0
-77.7	-34.805573	-16.458359	-80.2	0	0
-128.2	-76.3	-64.1	-118.2	0	-6
-105.8	-58.8	-1.352786	-4.858359	0	-6
-75.486799	-43.273599	-9.033996	-5.294394	0	0
-78.5	-57.8	-59.1	-102.1	0	0
-102.8	-54.8	-54.4	-114.7	1	-6
-128	-102	-98	-168	0	0
-110	-52	-16.567949	-80.4	1	-6
-135.5	-71.4	-11.52265	-17.345299	0	-6
-155.1	-87.4	-14.765478	-7.596433	1	-8
-138.3	-73.6	-7.6	-2.7	0	-6
-102.1	-47.80755	-6.652849	-8.075499	0	-6
-128	-102	-98	-168	0	0
-128	-102	-98	-168	0	0
-85.3	-28.305573	-12.705573	-75.552786	0	0
-94.6	-54.2	-32.1	-75.8	0	0
-128	-102	-98	-168	0	0
-137.8	-81.6	-21.819131	-19.262957	0	-8
-138.3	-75.9	-29.267544	-87.2	0	-6
-128.2	-76.3	-64.1	-118.2	0	-6
-143.9	-78.2	-10.883503	-7.567007	0	-6
